,Spanish,English
0,abogar , to advocate
1,el adversario , the adversary
2,la advertencia , the warning
3,afectar , to affect
4,el/la analista , the analyst
5,el arte , the art
6,artesanal , handmade
7,asistir , to attend
8,el asunto , the matter
9,auspiciar , to sponsor
10,el bachillerato , high school diploma
11,la beca , the scholarship
12,la biblioteca , the library
13,brindar , to offer
14,el brindis , the toast
15,la campaña , the campaign
16,la carrera , the career or race
17,la celebración , the celebration
18,celebrar , to celebrate
19,la central de operaciones , the operations center
20,la ciudadanía , the citizenship
21,el colegio electoral , the electoral college
22,la competencia , the competition
23,el comunicado de prensa , the press release
24,la conferencia , the conference
25,el/la congresista , the congressperson
26,el conservador , the conservative
27,el contacto , the contact
28,la convocatoria , the call or announcement
29,la costumbre , the custom
30,la cuenta , the account
31,la cultura , the culture
32,las decisiones , the decisions
33,la declaración , the statement
34,la democracia , democracy
35,los deportes , sports
36,los derechos humanos , human rights
37,el desarrollo , the development
38,despertar interés , to arouse interest
39,el destino turístico , the tourist destination
40,la diplomacia , diplomacy
41,la diplomacia pública , public diplomacy
42,la diversidad , diversity
43,el doctorado , the doctorate
44,la educación , education
45,el congreso , the congress
46,las elecciones , the elections
47,emitir un mensaje , to issue a message
48,la encuesta , the survey
49,el entendimiento , the understanding
50,la entrevista , the interview
51,la escuela , the school
52,el espectáculo , the show
53,el/la estudiante , the student
54,estudiar , to study
55,los estudios , studies
56,la exposición , the exhibition
57,la feria , the fair
58,la formación académica , academic training
59,fortalecer , to strengthen
60,la herencia , the heritage
61,la historia , the history
62,histórico , historic
63,el ideal , the ideal
64,la identidad , the identity
65,el idioma , the language
66,incentivar , to encourage
67,la independencia , independence
68,el/la indígena , the indigenous person
69,influir , to influence
70,la información , the information
71,informar , to inform
72,el inmigrante , the immigrant
73,la institución educativa , the educational institution
74,el instituto , the institute
75,el instrumento , the instrument
76,la interacción , the interaction
77,el intercambio , the exchange
78,interceder , to intercede
79,la opinión publica , public opinion
80,legítimo , legitimate
81,la ley , the law
82,liberal , liberal
83,la libertad de elección , freedom of choice
84,la libertad de expresión , freedom of speech
85,la licenciatura , the bachelor's degree
86,la literatura , literature
87,la maestría , the master's degree
88,el maestro , the teacher
89,la matrícula , the enrollment or tuition
90,los medios de comunicación , the media
91,el mensaje , the message
92,el ministerio de educación , the ministry of education
93,el ministro , the minister
94,monitorear , to monitor
95,la mujer , the woman
96,multicultural , multicultural
97,multirracial , multiracial
98,el museo , the museum
99,la música , the music
100,el musical , the musical
101,las noticias , the news
102,el oficial de asuntos culturales , the cultural affairs officer
103,el oficial de información , the information officer
104,el oficial de prensa , the press officer
105,los parques nacionales , the national parks
106,los partidos políticos , political parties
107,el patrimonio , the heritage
108,la paz , peace
109,el periódico , the newspaper
110,el/la periodista , the journalist
111,los pesos y contrapesos , checks and balances
112,el pilar , the pillar
113,la población , the population
114,la política estadounidense , American politics
115,la postura , the stance
116,la prensa , the press
117,promover , to promote
118,la propaganda , propaganda
119,la prosperidad , prosperity
120,publicar , to publish
121,el público , the public
122,la raza , the race
123,las redes sociales , social media
124,relacionarse , to relate
125,la repatriación , repatriation
126,el reportaje cultural , the cultural report
127,reportar , to report
128,la riqueza , the wealth
129,la rueda de prensa , the press conference
130,los seguidores , the followers
131,el semestre , the semester
132,el senador , the senator
133,suspender , to suspend
134,la tecnología , technology
135,la televisión , the television
136,los titulares , the headlines
137,el título , the degree or title
138,la tradición , the tradition
139,transmitir , to transmit
140,la tribu , the tribe
141,el turismo , tourism
142,el vínculo , the link
143,visitar , to visit
144,el vocero , the spokesperson
145,el anuncio publicitario , the advertisement
146,la galería de arte , the art gallery
147,el simpatizante , the supporter
148,la universidad , the university
